Category,English Name,Scientific Name,Order,Family
species,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches)
subspecies,no English name,Struthio camelus camelus,Struthioniformes,Struthionidae (Ostriches)
subspecies,no English name,Struthio camelus syriacus,Struthioniformes,Struthionidae (Ostriches)
subspecies,no English name,Struthio camelus massaicus,Struthioniformes,Struthionidae (Ostriches)
subspecies,no English name,Struthio camelus australis,Struthioniformes,Struthionidae (Ostriches)
species,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches)
species,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas)
subspecies,no English name,Rhea americana araneipes,Rheiformes,Rheidae (Rheas)
subspecies,no English name,Rhea americana americana,Rheiformes,Rheidae (Rheas)
subspecies,no English name,Rhea americana nobilis,Rheiformes,Rheidae (Rheas)
subspecies,no English name,Rhea americana albescens,Rheiformes,Rheidae (Rheas)
subspecies,no English name,Rhea americana intermedia,Rheiformes,Rheidae (Rheas)
